Classe,Etage,Pred,True,TP,FP,FN,Précision,Rappel,F1-score
Allacma fusca,branches,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0
Anurida maritima,branches,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0
Bilobella aurantiaca,branches,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0
Bilobella braunerae,branches,11.0,10.0,1.0,10.0,9.0,0.09090909090909091,0.1,0.09523809523809525
Bourletiella arvalis,branches,5.0,10.0,0.0,5.0,10.0,0.0,0.0,0.0
Bourletiella hortensis,branches,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0
Brachystomella parvula,branches,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0
Caprainea marginata,branches,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0
Ceratophysella denticulata,branches,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0
Ceratophysella longispina,branches,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0
Cyphoderus albinus,branches,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0
Deuterosminthurus bicinctus,branches,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0
Deuterosminthurus pallipes,branches,22.0,10.0,3.0,19.0,7.0,0.13636363636363635,0.3,0.18749999999999997
Dicyrtoma fusca,branches,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0
Dicyrtomina flavosignata,branches,40.0,7.0,3.0,37.0,4.0,0.075,0.42857142857142855,0.1276595744680851
Dicyrtomina minuta,branches,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0
Dicyrtomina ornata,branches,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0
Dicyrtomina saundersi,branches,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0
Dicyrtomina signata,branches,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0
Entomobrya albocincta,branches,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0
Entomobrya atrocincta,branches,245.0,10.0,9.0,236.0,1.0,0.036734693877551024,0.9,0.07058823529411765
Entomobrya corticalis,branches,93.0,10.0,1.0,92.0,9.0,0.010752688172043012,0.1,0.01941747572815534
Entomobrya marginata,branches,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0
Entomobrya multifasciata,branches,155.0,10.0,4.0,151.0,6.0,0.025806451612903226,0.4,0.04848484848484848
Entomobrya muscorum,branches,12.0,10.0,0.0,12.0,10.0,0.0,0.0,0.0
Entomobrya nicoleti,branches,28.0,10.0,2.0,26.0,8.0,0.07142857142857142,0.2,0.10526315789473682
Entomobrya nigrocincta,branches,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0
Entomobrya nivalis,branches,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0
Entomobrya superba,branches,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0
Fasciosminthurus quinquefasciatus,branches,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0
Folsomia candida,branches,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0
Folsomia quadrioculata,branches,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0
Heteromurus major,branches,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0
Heteromurus nitidus,branches,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0
Hypogastrura viatica,branches,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0
Isotoma riparia,branches,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0
Isotoma viridis,branches,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0
Isotomiella minor,branches,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0
Isotomurus gallicus,branches,11.0,4.0,0.0,11.0,4.0,0.0,0.0,0.0
Isotomurus maculatus,branches,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0
Isotomurus palustris,branches,2.0,10.0,0.0,2.0,10.0,0.0,0.0,0.0
Isotomurus unifasciatus,branches,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0
Kalaphorura burmeisteri,branches,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0
Lepidocyrtus curvicollis,branches,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0
Lepidocyrtus cyaneus,branches,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0
Lepidocyrtus fimetarius,branches,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0
Lepidocyrtus lignorum,branches,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0
Lepidocyrtus paradoxus,branches,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0
Megalothorax minimus,branches,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0
Monobella grassei,branches,20.0,10.0,1.0,19.0,9.0,0.05,0.1,0.06666666666666667
Neanura muscorum,branches,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0
